Cod_IBGE;Grande região;Município;casos_20;obitos_20;casos_21;obitos_21
3538808;Interior;Piraju;1,52E+03;3,15E+01;5,64E+03;2,69E+02
3538907;Interior;Pirajuí;2,95E+03;4,30E+01;7,71E+03;2,24E+02
3539004;Interior;Pirangi;3,68E+03;1,48E+02;1,28E+04;4,71E+02
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;4,01E+03;4,24E+01;4,83E+03;7,43E+01
3539202;Interior;Pirapozinho;4,27E+03;1,03E+02;7,05E+03;1,69E+02
3539301;Interior;Pirassununga;2,99E+03;5,16E+01;9,41E+03;3,05E+02
3539400;Interior;Piratininga;3,00E+03;8,33E+01;8,36E+03;2,42E+02
3539509;Interior;Pitangueiras;4,05E+03;9,33E+01;1,02E+04;3,32E+02
3539608;Interior;Planalto;4,37E+03;7,74E+01;8,19E+03;1,35E+02
3539707;Interior;Platina;2,14E+03;5,71E+01;9,45E+03;2,57E+02
3539806;RMSP (exceto capital);Poá;2,51E+03;1,16E+02;5,31E+03;2,41E+02
3539905;Interior;Poloni;2,56E+03;5,29E+01;1,34E+04;2,65E+02
3540002;Interior;Pompéia;1,12E+03;2,82E+01;3,61E+03;1,69E+02
3540101;Interior;Pongaí;3,82E+03;1,79E+02;6,89E+03;1,79E+02
3540200;Interior;Pontal;3,54E+03;1,12E+02;6,93E+03;2,23E+02
3540259;Interior;Pontalinda;2,05E+03;1,11E+02;2,63E+03;2,23E+02
3540309;Interior;Pontes Gestal;5,97E+03;1,98E+02;1,14E+04;1,19E+02
3540408;Interior;Populina;1,88E+03;7,51E+01;6,76E+03;2,50E+02
3540507;Interior;Porangaba;7,84E+02;1,07E+01;8,14E+03;2,15E+02
3540606;Interior;Porto Feliz;3,67E+03;4,26E+01;1,43E+04;2,48E+02
3540705;Interior;Porto Ferreira;2,79E+03;7,58E+01;1,16E+04;2,61E+02
3540754;Interior;Potim;2,00E+03;4,35E+01;7,99E+03;1,45E+02
3540804;Interior;Potirendaba;4,73E+03;7,23E+01;1,42E+04;4,16E+02
3540853;Interior;Pracinha;3,36E+03;0,00E+00;1,20E+03;1,03E+02
3540903;Interior;Pradópolis;4,04E+03;1,05E+02;5,56E+03;9,09E+01
3541000;Interior;Praia Grande;2,95E+03;9,88E+01;5,93E+03;2,30E+02
3541059;Interior;Pratânia;1,30E+03;3,88E+01;1,59E+04;2,13E+02
3541109;Interior;Presidente Alves;2,46E+03;4,98E+01;4,65E+03;1,49E+02
3541208;Interior;Presidente Bernardes;3,45E+03;8,02E+01;6,41E+03;2,41E+02
3541307;Interior;Presidente Epitácio;1,95E+03;5,90E+01;5,93E+03;2,41E+02
3541406;Interior;Presidente Prudente;4,00E+03;8,91E+01;1,07E+04;3,30E+02
3541505;Interior;Presidente Venceslau;1,88E+03;8,16E+01;8,18E+03;2,21E+02
3541604;Interior;Promissão;5,51E+03;4,54E+01;8,54E+03;2,34E+02
3541653;Interior;Quadra;1,86E+03;5,39E+01;4,64E+03;1,62E+02
3541703;Interior;Quatá;2,09E+03;2,87E+01;1,05E+04;1,87E+02
3541802;Interior;Queiroz;1,25E+03;6,10E+01;1,37E+04;3,05E+01
3541901;Interior;Queluz;2,89E+03;2,37E+01;4,67E+03;1,66E+02
3542008;Interior;Quintana;1,35E+03;1,54E+01;7,63E+03;4,46E+02
3542107;Interior;Rafard;2,75E+03;4,46E+01;9,51E+03;8,91E+01
3542206;Interior;Rancharia;3,96E+03;6,24E+01;1,06E+04;2,67E+02
3542305;Interior;Redenção da Serra;6,52E+02;0,00E+00;2,40E+03;1,30E+02
3542404;Interior;Regente Feijó;1,17E+03;5,13E+01;2,72E+03;2,82E+02
3542503;Interior;Reginópolis;2,08E+03;2,77E+01;2,55E+03;2,77E+02
3542602;Interior;Registro;4,30E+03;1,11E+02;7,98E+03;2,99E+02
3542701;Interior;Restinga;1,21E+03;1,33E+01;8,45E+03;1,20E+02
3542800;Interior;Ribeira;2,78E+03;3,08E+01;1,15E+04;2,16E+02
3542909;Interior;Ribeirão Bonito;3,17E+03;6,94E+01;5,11E+03;1,54E+02
3543006;Interior;Ribeirão Branco;2,01E+03;4,52E+01;9,45E+03;2,94E+02
3543105;Interior;Ribeirão Corrente;1,69E+03;2,14E+01;5,66E+03;6,43E+01
3543204;Interior;Ribeirão do Sul;1,88E+03;2,29E+01;1,42E+04;5,05E+02
3543238;Interior;Ribeirão dos Índios;1,91E+03;1,40E+02;2,43E+03;1,40E+02
3543253;Interior;Ribeirão Grande;2,48E+03;6,66E+01;4,55E+03;2,80E+02
3543303;RMSP (exceto capital);Ribeirão Pires;2,65E+03;8,66E+01;5,25E+03;2,13E+02
3543402;Interior;Ribeirão Preto;4,51E+03;1,39E+02;8,38E+03;3,02E+02
3543501;Interior;Riversul;5,61E+02;3,51E+01;9,11E+03;5,08E+02
3543600;Interior;Rifaina;1,70E+03;8,65E+01;1,24E+04;2,60E+02
3543709;Interior;Rincão;1,12E+03;4,76E+01;4,84E+03;2,67E+02
3543808;Interior;Rinópolis;1,17E+03;0,00E+00;5,61E+03;1,75E+02
3543907;Interior;Rio Claro;2,45E+03;8,15E+01;3,91E+03;2,12E+02
3544004;Interior;Rio das Pedras;2,50E+03;1,13E+02;8,13E+03;1,92E+02
3544103;RMSP (exceto capital);Rio Grande da Serra;1,71E+03;6,83E+01;2,75E+03;1,20E+02
3544202;Interior;Riolândia;3,49E+03;2,62E+01;1,41E+04;2,45E+02
3544251;Interior;Rosana;1,57E+03;4,35E+01;7,43E+03;1,96E+02
3544301;Interior;Roseira;2,84E+03;4,70E+01;1,20E+04;2,16E+02
3544400;Interior;Rubiácea;1,80E+03;0,00E+00;5,83E+03;3,22E+02
3544509;Interior;Rubinéia;3,45E+03;6,69E+01;1,09E+04;3,01E+02
3544608;Interior;Sabino;1,92E+03;1,46E+02;3,29E+03;3,29E+02
3544707;Interior;Sagres;8,47E+02;0,00E+00;1,03E+04;1,69E+02
3544806;Interior;Sales;1,65E+03;9,92E+01;7,16E+03;3,97E+02
3544905;Interior;Sales Oliveira;4,51E+03;3,47E+01;1,14E+04;2,34E+02
3545001;RMSP (exceto capital);Salesópolis;1,73E+03;1,07E+02;2,26E+03;2,14E+02
3545100;Interior;Salmourão;6,25E+02;1,95E+01;6,43E+03;3,91E+02
3545159;Interior;Saltinho;2,38E+03;2,54E+01;1,23E+04;2,42E+02
3545209;Interior;Salto;3,29E+03;7,54E+01;1,15E+04;3,01E+02
3545308;Interior;Salto de Pirapora;2,97E+03;7,46E+01;6,95E+03;3,30E+02
3545407;Interior;Salto Grande;2,03E+03;2,20E+01;1,14E+04;1,65E+02
3545506;Interior;Sandovalina;3,32E+03;7,12E+01;7,01E+03;2,14E+02
3545605;Interior;Santa Adélia;2,96E+03;4,03E+01;8,43E+03;3,49E+02
3545704;Interior;Santa Albertina;5,06E+03;3,53E+01;9,03E+03;4,23E+02
3545803;Interior;Santa Bárbara d'Oeste;4,23E+03;1,19E+02;8,15E+03;3,10E+02
3546009;Interior;Santa Branca;1,95E+03;5,64E+01;6,69E+03;1,90E+02
3546108;Interior;Santa Clara d'Oeste;3,74E+03;2,49E+02;1,03E+04;6,48E+02
3546207;Interior;Santa Cruz da Conceição;3,72E+03;4,60E+01;1,20E+04;2,53E+02
3546256;Interior;Santa Cruz da Esperança;1,49E+03;9,63E+01;8,04E+03;9,63E+01
3546306;Interior;Santa Cruz das Palmeiras;4,61E+03;6,82E+01;7,08E+03;2,94E+02
3546405;Interior;Santa Cruz do Rio Pardo;2,26E+03;2,39E+01;1,25E+04;3,49E+02
3546504;Interior;Santa Ernestina;3,37E+03;3,62E+01;6,50E+03;2,71E+02
3546603;Interior;Santa Fé do Sul;4,63E+03;1,49E+02;1,20E+04;2,73E+02
3546702;Interior;Santa Gertrudes;4,34E+03;8,78E+01;1,05E+04;2,02E+02
3546801;RMSP (exceto capital);Santa Isabel;3,35E+03;1,52E+02;8,12E+03;3,30E+02
3546900;Interior;Santa Lúcia;1,44E+03;5,84E+01;6,98E+03;2,10E+02
3547007;Interior;Santa Maria da Serra;2,23E+03;1,63E+01;1,14E+04;1,14E+02
3547106;Interior;Santa Mercedes;6,04E+02;3,55E+01;9,53E+03;2,84E+02
3547205;Interior;Santana da Ponte Pensa;1,33E+03;0,00E+00;2,45E+03;1,99E+02
3547304;RMSP (exceto capital);Santana de Parnaíba;3,70E+03;9,34E+01;7,88E+03;1,92E+02
3547403;Interior;Santa Rita d'Oeste;2,20E+03;4,16E+01;1,03E+04;4,58E+02
3547502;Interior;Santa Rita do Passa Quatro;1,77E+03;5,69E+01;4,94E+03;1,02E+02
3547601;Interior;Santa Rosa de Viterbo;2,10E+03;1,95E+01;7,45E+03;1,60E+02
3547650;Interior;Santa Salete;4,93E+03;2,08E+02;1,06E+04;2,78E+02
3547700;Interior;Santo Anastácio;2,14E+03;6,96E+01;7,75E+03;2,53E+02
3547809;RMSP (exceto capital);Santo André;4,03E+03;1,23E+02;5,72E+03;3,38E+02
3547908;Interior;Santo Antônio da Alegria;2,55E+03;4,52E+01;5,39E+03;2,71E+02
3548005;Interior;Santo Antônio de Posse;3,69E+03;5,69E+01;1,00E+04;1,88E+02
3548054;Interior;Santo Antônio do Aracanguá;2,23E+03;7,27E+01;5,49E+03;3,39E+02
3548104;Interior;Santo Antônio do Jardim;1,60E+03;5,15E+01;8,20E+03;3,09E+02
3548203;Interior;Santo Antônio do Pinhal;2,16E+03;4,53E+01;9,04E+03;7,54E+01
3548302;Interior;Santo Expedito;1,85E+03;6,73E+01;4,88E+03;1,35E+02
3548401;Interior;Santópolis do Aguapeí;2,42E+03;1,07E+02;9,75E+03;2,78E+02
3548500;Interior;Santos;7,54E+03;2,11E+02;7,08E+03;3,24E+02
3548609;Interior;São Bento do Sapucaí;1,24E+03;1,90E+01;6,41E+03;1,04E+02
3548708;RMSP (exceto capital);São Bernardo do Campo;4,17E+03;1,48E+02;4,74E+03;2,68E+02
3548807;RMSP (exceto capital);São Caetano do Sul;5,03E+03;2,09E+02;8,49E+03;4,30E+02
3548906;Interior;São Carlos;2,44E+03;3,09E+01;8,87E+03;1,92E+02
3549003;Interior;São Francisco;3,14E+03;1,49E+02;8,78E+03;3,74E+02
3549102;Interior;São João da Boa Vista;1,57E+03;3,89E+01;9,49E+03;3,21E+02
3549201;Interior;São João das Duas Pontes;3,31E+03;1,21E+02;5,25E+03;2,83E+02
3549250;Interior;São João de Iracema;2,54E+03;1,62E+02;7,08E+03;2,16E+02
3549300;Interior;São João do Pau d'Alho;4,03E+02;0,00E+00;9,37E+03;5,04E+01
3549409;Interior;São Joaquim da Barra;3,05E+03;6,37E+01;9,94E+03;2,73E+02
3549508;Interior;São José da Bela Vista;6,42E+02;5,73E+01;3,03E+03;1,49E+02
3549607;Interior;São José do Barreiro;5,90E+02;4,91E+01;6,86E+03;4,91E+01
3549706;Interior;São José do Rio Pardo;1,75E+03;5,07E+01;6,15E+03;2,41E+02
3549805;Interior;São José do Rio Preto;8,08E+03;2,05E+02;1,35E+04;4,28E+02
3549904;Interior;São José dos Campos;3,64E+03;7,67E+01;9,63E+03;2,02E+02
3549953;RMSP (exceto capital);São Lourenço da Serra;2,09E+03;6,42E+01;2,31E+03;1,80E+02
3550001;Interior;São Luiz do Paraitinga;1,70E+02;4,73E+01;8,80E+03;2,08E+02
3550100;Interior;São Manuel;1,64E+03;3,28E+01;1,27E+04;3,54E+02
3550209;Interior;São Miguel Arcanjo;1,04E+03;3,13E+01;5,63E+03;2,06E+02
3550308;Capital;São Paulo;3,38E+03;1,32E+02;4,85E+03;2,01E+02
3550407;Interior;São Pedro;2,94E+03;3,80E+01;1,41E+04;2,69E+02
3550506;Interior;São Pedro do Turvo;2,36E+03;4,07E+01;1,11E+04;1,36E+02
3550605;Interior;São Roque;2,01E+03;3,77E+01;6,03E+03;8,58E+01
3550704;Interior;São Sebastião;2,88E+03;5,39E+01;6,45E+03;1,43E+02
3550803;Interior;São Sebastião da Grama;1,90E+03;4,19E+01;8,03E+03;2,35E+02
3550902;Interior;São Simão;1,64E+03;4,71E+01;6,73E+03;1,48E+02
3551009;Interior;São Vicente;2,62E+03;1,49E+02;2,75E+03;2,26E+02
3551108;Interior;Sarapuí;3,56E+02;9,89E+00;4,74E+03;5,93E+01
3551207;Interior;Sarutaiá;1,76E+03;8,23E+01;1,73E+03;4,39E+02
3551306;Interior;Sebastianópolis do Sul;2,52E+03;3,04E+01;4,59E+03;1,82E+02
3551405;Interior;Serra Azul;6,14E+03;3,26E+01;5,11E+03;9,77E+01
3551504;Interior;Serrana;3,27E+03;1,10E+02;9,59E+03;1,51E+02
3551603;Interior;Serra Negra;1,81E+03;1,46E+01;9,39E+03;2,55E+02
3551702;Interior;Sertãozinho;4,66E+03;1,05E+02;1,18E+04;3,06E+02
3551801;Interior;Sete Barras;5,16E+03;1,11E+02;1,05E+04;2,38E+02
3551900;Interior;Severínia;4,67E+03;9,93E+01;8,65E+03;3,39E+02
3552007;Interior;Silveiras;9,35E+02;1,61E+01;7,85E+03;8,06E+01
3552106;Interior;Socorro;2,35E+03;3,35E+01;9,17E+03;1,62E+02
3552205;Interior;Sorocaba;3,50E+03;8,55E+01;8,30E+03;3,50E+02
3552304;Interior;Sud Mennucci;3,97E+03;1,30E+01;8,32E+03;1,94E+02
3552403;Interior;Sumaré;3,00E+03;8,76E+01;7,10E+03;2,18E+02
3552502;RMSP (exceto capital);Suzano;2,59E+03;9,90E+01;5,71E+03;2,33E+02
3552551;Interior;Suzanápolis;3,93E+03;5,07E+01;5,57E+03;2,53E+02
3552601;Interior;Tabapuã;4,07E+03;1,26E+02;1,22E+04;3,78E+02
3552700;Interior;Tabatinga;2,82E+03;9,44E+01;1,00E+04;2,83E+02
3552809;RMSP (exceto capital);Taboão da Serra;3,54E+03;1,24E+02;3,06E+03;2,13E+02
3552908;Interior;Taciba;2,11E+03;3,30E+01;1,17E+04;3,96E+02
3553005;Interior;Taguaí;4,20E+03;3,75E+01;1,55E+04;2,48E+02
3553104;Interior;Taiaçu;3,54E+03;1,66E+01;3,10E+03;1,82E+02
3553203;Interior;Taiúva;4,92E+03;7,96E+01;9,64E+03;1,75E+02
3553302;Interior;Tambaú;2,46E+03;5,26E+01;8,62E+03;1,67E+02
3553401;Interior;Tanabi;6,39E+03;1,23E+02;1,31E+04;3,39E+02
3553500;Interior;Tapiraí;2,48E+03;5,20E+01;8,68E+03;7,79E+01
3553609;Interior;Tapiratiba;2,16E+03;2,38E+01;1,19E+04;2,54E+02
3553658;Interior;Taquaral;3,93E+03;7,27E+01;9,56E+03;3,64E+02
3553708;Interior;Taquaritinga;2,62E+03;8,62E+01;9,73E+03;2,99E+02
3553807;Interior;Taquarituba;2,63E+03;3,88E+01;1,39E+04;4,35E+02
3553856;Interior;Taquarivaí;1,25E+03;3,48E+01;8,16E+03;3,13E+02
3553906;Interior;Tarabai;3,54E+03;8,25E+01;8,64E+03;3,44E+02
3553955;Interior;Tarumã;2,54E+03;4,05E+01;9,50E+03;3,17E+02
3554003;Interior;Tatuí;3,16E+03;8,24E+01;7,40E+03;3,06E+02
3554102;Interior;Taubaté;2,72E+03;6,60E+01;6,76E+03;2,65E+02
3554201;Interior;Tejupá;1,06E+03;0,00E+00;1,98E+03;1,92E+02
3554300;Interior;Teodoro Sampaio;2,94E+03;3,12E+01;1,05E+04;1,96E+02
3554409;Interior;Terra Roxa;3,43E+03;6,58E+01;9,44E+03;2,96E+02
3554508;Interior;Tietê;2,23E+03;6,57E+01;8,39E+03;2,24E+02
3554607;Interior;Timburi;1,10E+03;7,82E+01;5,75E+03;3,13E+02
3554656;Interior;Torre de Pedra;1,08E+03;1,29E+02;6,98E+03;3,45E+02
3554706;Interior;Torrinha;2,84E+03;6,18E+01;1,47E+04;1,65E+02
3554755;Interior;Trabiju;1,94E+03;0,00E+00;1,12E+04;1,76E+02
3554805;Interior;Tremembé;1,37E+03;8,70E+00;4,59E+03;1,13E+02
3554904;Interior;Três Fronteiras;5,23E+03;1,80E+02;1,08E+04;4,51E+02
3554953;Interior;Tuiuti;1,02E+03;1,53E+01;1,00E+04;3,05E+01
3555000;Interior;Tupã;2,23E+03;8,91E+01;9,23E+03;3,48E+02
3555109;Interior;Tupi Paulista;2,07E+03;2,69E+01;9,43E+03;3,02E+02
3555208;Interior;Turiúba;3,56E+03;1,05E+02;6,12E+03;1,05E+02
3555307;Interior;Turmalina;2,49E+03;0,00E+00;9,31E+03;2,77E+02
3555356;Interior;Ubarana;5,14E+03;8,24E+01;1,27E+04;2,14E+02
3555406;Interior;Ubatuba;3,01E+03;5,29E+01;6,15E+03;1,01E+02
3555505;Interior;Ubirajara;2,19E+03;2,14E+01;9,99E+03;2,14E+02
3555604;Interior;Uchoa;4,92E+03;1,14E+02;1,02E+04;1,96E+02
3555703;Interior;União Paulista;5,23E+03;1,73E+02;7,99E+03;1,73E+02
3555802;Interior;Urânia;5,89E+03;2,09E+02;1,06E+04;2,67E+02
3555901;Interior;Uru;5,22E+03;2,49E+02;8,95E+03;1,66E+02
3556008;Interior;Urupês;2,04E+03;1,06E+02;4,69E+03;2,51E+02
3556107;Interior;Valentim Gentil;7,05E+03;1,10E+02;1,30E+04;4,31E+02
3556206;Interior;Valinhos;3,34E+03;1,03E+02;9,03E+03;2,45E+02
3556305;Interior;Valparaíso;3,40E+03;8,75E+01;9,65E+03;2,54E+02
3556354;Interior;Vargem;8,40E+02;1,00E+01;3,32E+03;9,00E+01
3556404;Interior;Vargem Grande do Sul;2,93E+03;5,78E+01;4,97E+03;2,00E+02
3556453;RMSP (exceto capital);Vargem Grande Paulista;1,59E+03;6,44E+01;4,75E+03;1,50E+02
3556503;Interior;Várzea Paulista;1,86E+03;6,72E+01;5,98E+03;1,55E+02
3556602;Interior;Vera Cruz;1,81E+03;8,55E+01;4,52E+03;2,76E+02
3556701;Interior;Vinhedo;3,74E+03;5,80E+01;1,01E+04;2,19E+02
3556800;Interior;Viradouro;3,22E+03;5,45E+01;8,45E+03;4,58E+02
3556909;Interior;Vista Alegre do Alto;3,17E+03;3,74E+01;1,13E+04;2,12E+02
3556958;Interior;Vitória Brasil;2,39E+03;0,00E+00;1,28E+04;5,11E+02
3557006;Interior;Votorantim;2,86E+03;9,51E+01;6,94E+03;3,47E+02
3557105;Interior;Votuporanga;7,26E+03;1,34E+02;1,06E+04;3,69E+02
3557154;Interior;Zacarias;5,31E+03;3,91E+01;5,20E+03;3,52E+02
3557204;Interior;Chavantes;1,78E+03;1,64E+01;9,96E+03;3,85E+02
3557303;Interior;Estiva Gerbi;1,75E+03;6,32E+01;5,61E+03;2,35E+02
